Orden,Familia,Taxa,Ingles,Español,Estatus,
,,,,,,
Tinamiformes,,,, ,,
,Tinamidae (5),,,,,
,,Nothocercus bonapartei,Highland Tinamou ,"Tinamú Serrano (Gallina de monte de Altura, Gongolona)",R,
,,Tinamus major,Great Tinamou,"Tinamú Grande (Gallina de monte, Perdiz, Gongolona, Yerre)",R,
,,Crypturellus soui,Little Tinamou,"Tinamú Chico (Gallina de monte Chica, Gongolona, Yerre, Ponchita)",R,
,,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamú Pizarroso (Gallina de monte Patirroja),R,
,,Crypturellus cinnamomeus,Thicket Tinamou,"Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)",R,
Anseriformes,,,,,,
,Anatidae (24),,,,,
,,Dendrocygna viduata,White-faced Whistling-Duck,Pijije Cariblanco (Piche Careto),R?,
,,Dendrocygna autumnalis,Black-bellied Whistling-Duck,"Pijije Común (Piche, Quichichi, Pichichi) ",R,
,,Dendrocygna bicolor,Fulvous Whistling-Duck,Pijije Canelo (Piche Canelo) ,R,
,,Anser albifrons,Greater White-fronted Goose,Ganso Careto Mayor,A,
,,Sarkidiornis sylvicola ,Comb Duck,Pato Crestudo,A,
,,Cairina moschata,Muscovy Duck,Pato Real (Pato Perulero),R,
,,Spatula discors,Blue-winged Teal,"Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)",M,
,,Spatula cyanoptera,Cinnamon Teal,Cerceta Castaña (Carraco),M,
,,Spatula clypeata,Northern Shoveler,Pato Cuchara (Carraco) ,M,
,,Mareca americana,American Wigeon,Pato Calvo (Carraco) ,M,
,,Anas platyrhynchos,Mallard,Pato Cabeciverde (Carraco) ,M-SC,
,,Anas bahamensis,White-cheeked Pintail,Pato Gargantilla,A,
,,Anas acuta,Northern Pintail,Pato Rabudo (Carraco Colilargo),M,
,,Anas crecca,Green-winged Teal,"Cerceta Aliverde (Carraco, Zarceta) ",M,
,,Aythya valisineria,Canvasback,Porrón Picudo                     ,A,
,,Aythya americana,Redhead,Porrón Americano (Pato Cabeza Roja)              ,A,
,,Aythya ferina,Common Pochard,Porrón Europeo,A,
,,Aythya collaris,Ring-necked Duck,Porrón Collarejo (Pato),M,
,,Aythya marila,Greater Scaup,Porrón Mayor (Pato),A- SC,
,,Aythya affinis,Lesser Scaup,Porrón Menor (Pato) ,M,
,,Lophodytes cucullatus,Hooded Merganser,Serreta Capuchona (Pato de Cresta) ,A,
,,Mergus serrator,Red-breasted Merganser,Serreta Pechirrojo,A,
,,Nomonyx dominicus,Masked Duck,Pato Enmascarado,R,
,,Oxyura jamaicensis,Ruddy Duck,Pato Cariblanco,A,
Galliformes,,,,,,
,Cracidae (5),,,,,
,,Ortalis vetula,Plain Chachalaca,Chachalaca Olivácea (Chachalaca),R,
,,Ortalis cinereiceps,Gray-headed Chachalaca,"Chachalaca Cabecigrís (Chachalaca, Pavita)",R,
,,Penelope purpurascens,Crested Guan,Pava Crestada (Pava Granadera),R,
,,Chamaepetes unicolor,Black Guan,Pava Negra (Pajuila) ,R-END,
,,Crax rubra,Great Curassow,"Pavón Grande (Pavón, Granadera)",R,
,Odontophoridae (7),,,,,
,,Rhynchortyx cinctus,Tawny-faced Quail,Codorniz Carirrufa,R,
,,Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,Perdiz Montañera (Chirrascuá),R,
,,Colinus cristatus,Crested Bobwhite,Codorniz Crestada (Codorniz de Monte),R,
,,Odontophorus gujanensis,Marbled Wood-Quail,Codorniz Corcovado (Julián Piojo),R,
,,Odontophorus melanotis,Black-eared Wood-Quail,"Codorniz Orejinegra (Chirrascuá, Gallinita)",R-END,
,,Odontophorus leucolaemus,Black-breasted Wood-Quail,"Codorniz Pechinegra (Gallinita de Monte, Chirrascuá, Huevos de Chancho)",R-END,
,,Odontophorus guttatus,Spotted Wood-Quail,Codorniz Moteada,R,
Podicipediformes,,,,,,
,Podicipedidae (3),,,,,
,,Tachybaptus dominicus,Least Grebe,Zambullidor Enano ,R,
,,Podilymbus podiceps,Pied-billed Grebe,Zambullidor Piquipinto (Pico Pinto),"R, M?",
,,Podiceps nigricollis,Eared Grebe,Zambullidor Mediano,A- SC,
Columbiformes,,,,,,
,Columbidae (27),,,,,
,,Columba livia,Rock Pigeon,Paloma Doméstica (Paloma de Castilla),R,
,,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada (Paloma Morada),R,
,,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa (Paloma Morada),R,
,,Patagioenas leucocephala,White-crowned Pigeon,Paloma Coroniblanca,A,
,,Patagioenas flavirostris,Red-billed Pigeon,Paloma Piquirroja (Paloma Morada Común) ,R,
,,Patagioenas fasciata,Band-tailed Pigeon,Paloma Collareja,R,
,,Patagioenas subvinacea,Ruddy Pigeon,Paloma Rojiza (Paloma Morada),R,
,,Patagioenas nigrirostris,Short-billed Pigeon,"Paloma Piquicorta (Paloma Morada, Dos-tontos-son)",R,
,,Streptopelia decaocto,Eurasian Collared-Dove,Tórtola Turca,A-R?,
,,Columbina inca,Inca Dove,"Tortolita Colilarga (San Juan, Tórtola)",R,
,,Columbina passerina,Common Ground Dove,"Tortolita Común (Tortolita, Palomita)",R,
,,Columbina minuta,Plain-breasted Ground Dove,"Tortolita Menuda (Tortolita, Conchita)",R,
,,Columbina talpacoti,Ruddy Ground Dove,"Tortolita Rojiza (Tortolita, Palomita Colorada)",R,
,,Claravis pretiosa,Blue Ground Dove,Tortolita Azulada,R,
,,Paraclaravis mondetoura,Maroon-chested Ground Dove,Tortolita Serranera,R,
,,Geotrygon montana,Ruddy Quail-Dove,Paloma-Perdiz Rojiza,R,
,,Geotrygon violacea,Violaceous Quail-Dove,Paloma-Perdiz Violácea,R,
,,Leptotrygon veraguensis,Olive-backed Quail-Dove,Paloma-Perdiz Bigotiblanca,R,
,,Leptotila verreauxi,White-tipped Dove,"Paloma Coliblanca (Coliblanca, Yuré) ",R,
,,Leptotila cassinii,Gray-chested Dove,Paloma Pechigrís (Yuré),R,
,,Leptotila plumbeiceps,Gray-headed Dove,Paloma Coronigrís (Yuré),R,
,,Zentrygon costaricensis,Buff-fronted Quail-Dove,Paloma-Perdiz Costarricense,R-END,
,,Zentrygon lawrencii,Purplish-backed Quail-Dove,Paloma-Perdiz Sombría,R,
,,Zentrygon chiriquensis,Chiriqui Quail-Dove,Paloma-Perdiz Pechicanela,R-END,
,,Zenaida asiatica,White-winged Dove,Paloma Aliblanca (Arrocera),"R, M",
,,Zenaida auriculata,Eared Dove,Paloma Torcaza,A,
,,Zenaida macroura,Mourning Dove,Paloma Rabuda ,"R, M",
Cuculiformes,,,,,,
,Cuculidae (13),,,,,
,,Crotophaga major,Greater Ani,Garrapatero Mayor (Tijo) ,A,
,,Crotophaga ani,Smooth-billed Ani,"Garrapatero Piquiliso (Tijo, Tinco)",R,
,,Crotophaga sulcirostris,Groove-billed Ani,"Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)",R,
,,Tapera naevia,Striped Cuckoo,"Cuclillo Listado (Rondero, Tres Pesos, Ave de las Ánimas)",R,
,,Dromococcyx phasianellus,Pheasant Cuckoo,Cuclillo Faisán,R,
,,Morococcyx erythropygus ,Lesser Ground-Cuckoo,Cuclillo Sabanero (Horero),R,
,,Neomorphus geoffroyi ,Rufous-vented Ground-Cuckoo ,Cuco Hormiguero,R,
,,Piaya cayana,Squirrel Cuckoo,"Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)",R,
,,Coccyzus melacoryphus,Dark-billed Cuckoo,Cuclillo Piquioscuro,A,
,,Coccyzus americanus,Yellow-billed Cuckoo,Cuclillo Piquigualdo,M,
,,Coccyzus minor,Mangrove Cuckoo,Cuclillo de Antifaz,"R?, M",
,,Coccyzus ferrugineus,Cocos Cuckoo,Cuclillo de la Isla del Coco,R-END,
,,Coccyzus erythropthalmus,Black-billed Cuckoo,Cuclillo Piquinegro,M,
Caprimulgiformes,,,,,,
,Caprimulgidae (11),,,,,
,,Chordeiles acutipennis,Lesser Nighthawk,Añapero Menor (Gavilán),"R, M",
,,Chordeiles minor,Common Nighthawk,Añapero Zumbón,"RR, M",
,,Lurocalis semitorquatus,Short-tailed Nighthawk,Añapero Colicorto,R,
,,Nyctidromus albicollis,Common Pauraque,"Tapacaminos Común (Cuyeo, Pucuyo)",R,
,,Hydropsalis cayennensis,White-tailed Nightjar,Chotacabras Coliblanco,R,
,,Nyctiphrynus ocellatus,Ocellated Poorwill,Chotacabras Ocelado,R,
,,Antrostomus carolinensis,Chuck-will's-widow,Chotacabras de Paso,M,
,,Antrostomus rufus,Rufous Nightjar,Chotacabras Rojizo,R,
,,Antrostomus ridgwayi,Buff-collared Nightjar,Chotacabras Tucuchillo,"R?, M",
,,Antrostomus vociferus,Eastern Whip-poor-will,Chotacabras Norteño,M?,
,,Antrostomus saturatus,Dusky Nightjar,Chotacabras Sombrío (Tres Cobijas),R-END,
Nyctibiiformes,,,,,,
,Nyctibiidae (3),,,,,
,,Nyctibius grandis,Great Potoo,"Nictibio Grande (Pájaro Estaca, Leona, Bruja)",R,
,,Nyctibius griseus,Common Potoo,"Nictibio Común (Pájaro Estaca, Pájaro Palo)",R,
,,Nyctibius jamaicensis,Northern Potoo,"Nictibio Norteño (Pájaro Estaca, Gozona)",R,
Steatornithiformes,,,,,,
,Steatornithidae (1),,,,,
,,Steatornis caripensis,Oilbird,Guácharo,R?,
Apodiformes,,,,,,
,Apodidae (11),,,,,
