Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
Tinamiformes,,,,,,
,Tinamidae,,,,,
,,Nothocercus bonapartei,Highland Tinamou,"Tinamú Serrano (Gallina de monte de Altura, Gongolona)",R,Highland Tinamou
,,Tinamus major,Great Tinamou,"Tinamú Grande (Gallina de monte, Perdiz, Gongolona, Yerre)",R,Great Tinamou
,,Crypturellus soui,Little Tinamou,"Tinamú Chico (Gallina de monte Chica, Gongolona, Yerre, Ponchita)",R,Little Tinamou
,,Crypturellus cinnamomeus,Thicket Tinamou,"Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)",R,Thicket Tinamou
,,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamú Pizarroso (Gallina de monte Patirroja),R,Slaty-breasted Tinamou
Anseriformes,,,,,,
,Anatidae,,,,,
,,Cairina moschata,Muscovy Duck,Pato Real (Pato Perulero),R,Muscovy Duck
,,Spatula discors,Blue-winged Teal,"Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)",M,Blue-winged Teal
,,Aythya affinis,Lesser Scaup,Porrón Menor (Pato),M,Lesser Scaup
Galliformes,,,,,,
,Cracidae,,,,,
,,Ortalis vetula,Plain Chachalaca,Chachalaca Olivácea (Chachalaca),R,Plain Chachalaca
,,Ortalis cinereiceps,Gray-headed Chachalaca,"Chachalaca Cabecigrís (Chachalaca, Pavita)",R,Gray-headed Chachalaca
,,Penelope purpurascens,Crested Guan,Pava Crestada (Pava Granadera),R,Crested Guan
,,Chamaepetes unicolor,Black Guan,Pava Negra (Pajuila),R-END,Black Guan
,,Crax rubra,Great Curassow,"Pavón Grande (Pavón, Granadera)",R,Great Curassow
,Odontophoridae,,,,,
,,Odontophorus melanotis,Black-eared Wood-Quail,"Codorniz Orejinegra (Chirrascuá, Gallinita)",R-END,Black-eared Wood-Quail
Columbiformes,,,,,,
,Columbidae,,,,,
,,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada (Paloma Morada),R,Pale-vented Pigeon
,,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa (Paloma Morada),R,Scaled Pigeon
,,Patagioenas flavirostris,Red-billed Pigeon,Paloma Piquirroja (Paloma Morada Común),R,Red-billed Pigeon
,,Patagioenas fasciata,Band-tailed Pigeon,Paloma Collareja,R,Band-tailed Pigeon
,,Patagioenas nigrirostris,Short-billed Pigeon,"Paloma Piquicorta (Paloma Morada, Dos-tontos-son)",R,Short-billed Pigeon
,,Columbina inca,Inca Dove,"Tortolita Colilarga (San Juan, Tórtola)",R,Inca Dove
,,Leptotrygon veraguensis,Olive-backed Quail-Dove,Paloma-Perdiz Bigotiblanca,R,Olive-backed Quail-Dove
,,Leptotila verreauxi,White-tipped Dove,"Paloma Coliblanca (Coliblanca, Yuré)",R,White-tipped Dove
,,Leptotila cassinii,Gray-chested Dove,Paloma Pechigrís (Yuré),R,Gray-chested Dove
,,Zentrygon chiriquensis,Chiriqui Quail-Dove,Paloma-Perdiz Pechicanela,R-END,Chiriqui Quail-Dove
,,Zenaida asiatica,White-winged Dove,Paloma Aliblanca (Arrocera),"R, M",White-winged Dove
Cuculiformes,,,,,,
,Cuculidae,,,,,
,,Crotophaga sulcirostris,Groove-billed Ani,"Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)",R,Groove-billed Ani
,,Morococcyx erythropygus,Lesser Ground-Cuckoo,Cuclillo Sabanero (Horero),R,Lesser Ground-Cuckoo
,,Piaya cayana,Squirrel Cuckoo,"Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)",R,Squirrel Cuckoo
Caprimulgiformes,,,,,,
,Caprimulgidae,,,,,
,,Chordeiles acutipennis,Lesser Nighthawk,Añapero Menor (Gavilán),"R, M",Lesser Nighthawk
,,Nyctidromus albicollis,Common Pauraque,"Tapacaminos Común (Cuyeo, Pucuyo)",R,Common Pauraque
Nyctibiiformes,,,,,,
,Nyctibiidae,,,,,
,,Nyctibius griseus,Common Potoo,"Nictibio Común (Pájaro Estaca, Pájaro Palo)",R,Common Potoo
Apodiformes,,,,,,
,Apodidae,,,,,
,,Cypseloides cryptus,White-chinned Swift,Vencejo Sombrío,R,White-chinned Swift
,,Streptoprocne zonaris,White-collared Swift,Vencejón Collarejo (Golondrón),R,White-collared Swift
,,Chaetura cinereiventris,Gray-rumped Swift,Vencejo Lomigrís,R,Gray-rumped Swift
,,Chaetura vauxi,Vaux's Swift,Vencejo Común,R,Vaux's Swift
