Region: Guatemala, El Salvador, Honduras, Costa Rica, & Pa,CountDate: 12/30/2022 12:00:00 AM
Circle: Cacao - Area de Conservacion Guancaste, Costa Rica,Count Code: CRCA

Species,# or cw,US,HC,LC
Highland Tinamou
Great Tinamou
Little Tinamou
Slaty-breasted Tinamou
Thicket Tinamou
Muscovy Duck
Blue-winged Teal
Lesser Scaup
Plain Chachalaca
Gray-headed Chachalaca
Crested Guan
Black Guan
Great Curassow
Black-eared Wood-Quail
Wood Stork
Magnificent Frigatebird
Fasciated Tiger-Heron
Bare-throated Tiger-Heron
Great Blue Heron (Blue form)
Great Egret
Snowy Egret
Little Blue Heron
Cattle Egret
Green Heron
Yellow-crowned Night-Heron
Boat-billed Heron
Roseate Spoonbill
Black Vulture
Turkey Vulture
King Vulture
Osprey
White-tailed Kite
Hook-billed Kite
Gray-headed Kite
Swallow-tailed Kite
Black Hawk-Eagle
Ornate Hawk-Eagle
Double-toothed Kite
Mississippi Kite
Tiny Hawk
Crane Hawk
Great Black Hawk
Barred Hawk
Roadside Hawk
Harris's Hawk
White Hawk
Gray Hawk
Broad-winged Hawk
Short-tailed Hawk
Swainson's Hawk
Zone-tailed Hawk
Sunbittern
White-throated Crake
Gray-necked Wood-Rail
Sora
Purple Gallinule
Double-striped Thick-knee
Southern Lapwing
Killdeer
Northern Jacana
Spotted Sandpiper
Solitary Sandpiper
Pale-vented Pigeon
Scaled Pigeon
Red-billed Pigeon
Band-tailed Pigeon
Short-billed Pigeon
Inca Dove
Common Ground-Dove
Plain-breasted Ground-Dove
Ruddy Ground-Dove
Blue Ground-Dove
Olive-backed Quail-Dove
White-tipped Dove
Gray-chested Dove
Chiriqui Quail-Dove
White-winged Dove
Squirrel Cuckoo
Lesser Ground-Cuckoo
Groove-billed Ani
Barn Owl
Vermiculated Screech-Owl
Spectacled Owl
Mottled Owl
Black-and-white Owl
Lesser Nighthawk
Common Pauraque
Common Potoo
White-chinned Swift
White-collared Swift
Vaux's Swift
Gray-rumped Swift
Lesser Swallow-tailed Swift
White-necked Jacobin
White-tipped Sicklebill
Bronzy Hermit
Band-tailed Barbthroat
Green Hermit
Long-billed Hermit
Stripe-throated Hermit
Brown Violetear
Purple-crowned Fairy
Black-crested Coquette
Long-billed Starthroat
Purple-throated Mountain-gem
Ruby-throated Hummingbird
Canivet's Emerald
Violet-headed Hummingbird
Scaly-breasted Hummingbird
Violet Sabrewing
Bronze-tailed Plumeleteer
Crowned Woodnymph (Violet-crowned Woodnymph)
Stripe-tailed Hummingbird
Coppery-headed Emerald
Snowcap
Blue-chested Hummingbird
Steely-vented Hummingbird
Rufous-tailed Hummingbird
Cinnamon Hummingbird
Blue-throated Goldentail
Slaty-tailed Trogon
Black-headed Trogon
Gartered Trogon
Black-throated Trogon
Orange-bellied Trogon
Collared Trogon
Tody Motmot
Blue-crowned Motmot
Blue-crowned Motmot (Lesson's)
Amazonian Motmot
Rufous Motmot
Keel-billed Motmot
Broad-billed Motmot
Ringed Kingfisher
Belted Kingfisher
Amazon Kingfisher
Green Kingfisher
Pied Puffbird
White-whiskered Puffbird
White-fronted Nunbird (Costa Rican)
Rufous-tailed Jacamar
Emerald Toucanet
Collared Aracari
Yellow-eared Toucanet
Yellow-throated Toucan (Chestnut-mandibled)
Yellow-throated Toucan (Black-mandibled)
Keel-billed Toucan
Olivaceous Piculet
Black-cheeked Woodpecker
Hoffmann's Woodpecker
Yellow-bellied Sapsucker
Smoky-brown Woodpecker
Rufous-winged Woodpecker
Golden-olive Woodpecker
Lineated Woodpecker
Pale-billed Woodpecker
Barred Forest-Falcon
Collared Forest-Falcon
Crested Caracara
Yellow-headed Caracara
Laughing Falcon
American Kestrel
Bat Falcon
Peregrine Falcon
Orange-chinned Parakeet
Brown-hooded Parrot
White-crowned Parrot
Red-lored Parrot
Yellow-naped Parrot
White-fronted Parrot
Mealy Parrot
Olive-throated Parakeet
Orange-fronted Parakeet
Crimson-fronted Parakeet
Fasciated Antshrike
Barred Antshrike
Black-crowned Antshrike
Plain Antvireo
Streak-crowned Antvireo
Checker-throated Antwren
White-flanked Antwren
Slaty Antwren
Dusky Antbird
Bare-crowned Antbird
Chestnut-backed Antbird
Dull-mantled Antbird
Zeledon's Antbird
Bicolored Antbird
White-cheeked Antbird
Spotted Antbird
Ocellated Antbird
Scaled Antpitta
Thicket Antpitta
Black-faced Antthrush
Gray-throated Leaftosser
Olivaceous Woodcreeper
Long-tailed Woodcreeper
Ruddy Woodcreeper
Plain-brown Woodcreeper
Wedge-billed Woodcreeper
Northern Barred-Woodcreeper
Cocoa Woodcreeper
Ivory-billed Woodcreeper
Black-striped Woodcreeper
Spotted Woodcreeper
Streak-headed Woodcreeper
Plain Xenops
Spotted Barbtail
Slaty Spinetail
Brown-capped Tyrannulet
Northern Beardless-Tyrannulet
Yellow Tyrannulet
Yellow-bellied Elaenia
Lesser Elaenia
Mountain Elaenia
Olive-striped Flycatcher
Ochre-bellied Flycatcher
Sepia-capped Flycatcher
Paltry Tyrannulet
Black-capped Pygmy-Tyrant
Scale-crested Pygmy-Tyrant
Northern Bentbill
Slate-headed Tody-Flycatcher
Common Tody-Flycatcher
Black-headed Tody-Flycatcher
Eye-ringed Flatbill
Yellow-olive Flycatcher
Yellow-margined Flycatcher
Stub-tailed Spadebill
White-throated Spadebill
Golden-crowned Spadebill
Royal Flycatcher
Royal Flycatcher (Northern)
Ruddy-tailed Flycatcher
Sulphur-rumped Flycatcher
Olive-sided Flycatcher
Western Wood-Pewee
Eastern Wood-Pewee
Tropical Pewee
Yellow-bellied Flycatcher
Willow Flycatcher
Least Flycatcher
Yellowish Flycatcher
Black Phoebe
Long-tailed Tyrant
Bright-rumped Attila
Rufous Mourner
Dusky-capped Flycatcher
Nutting's Flycatcher
Great Crested Flycatcher
Brown-crested Flycatcher
Great Kiskadee
Boat-billed Flycatcher
Social Flycatcher
Gray-capped Flycatcher
White-ringed Flycatcher
Streaked Flycatcher
Streaked Flycatcher (Streaked)
Sulphur-bellied Flycatcher
Tropical Kingbird
Western Kingbird
Scissor-tailed Flycatcher
Bare-necked Umbrellabird
Rufous Piha
Three-wattled Bellbird
Snowy Cotinga
Long-tailed Manakin
White-ruffed Manakin
White-collared Manakin
Red-capped Manakin
Black-crowned Tityra
Masked Tityra
Northern Schiffornis
Brown-winged Schiffornis
Cinnamon Becard
White-winged Becard
Yellow-throated Vireo
Blue-headed Vireo
Philadelphia Vireo
Red-eyed Vireo
Yellow-green Vireo
Tawny-crowned Greenlet
Lesser Greenlet
Green Shrike-Vireo
Rufous-browed Peppershrike
Azure-hooded Jay
White-throated Magpie-Jay
Brown Jay
Blue-and-white Swallow
Northern Rough-winged Swallow
Southern Rough-winged Swallow
Gray-breasted Martin
Mangrove Swallow
Bank Swallow
Barn Swallow
Nightingale Wren
House Wren
Band-backed Wren
Rufous-naped Wren
Spot-breasted Wren
Black-throated Wren
Banded Wren
Stripe-breasted Wren
Plain Wren
Bay Wren
White-breasted Wood-Wren
Gray-breasted Wood-Wren
Song Wren
Tawny-faced Gnatwren
Long-billed Gnatwren
White-lored Gnatcatcher
Tropical Gnatcatcher
Black-faced Solitaire
Black-headed Nightingale-Thrush
Swainson's Thrush
Wood Thrush
Mountain Thrush
Clay-colored Thrush
White-throated Thrush
Gray Catbird
Tropical Mockingbird
Black-and-yellow Silky-flycatcher
Ovenbird
Louisiana Waterthrush
Northern Waterthrush
Golden-winged Warbler
Black-and-white Warbler
Prothonotary Warbler
Tennessee Warbler
Gray-crowned Yellowthroat
Mourning Warbler
Kentucky Warbler
Olive-crowned Yellowthroat
Common Yellowthroat
American Redstart
Northern Parula
Tropical Parula
Bay-breasted Warbler
Yellow Warbler
Chestnut-sided Warbler
Blackpoll Warbler
Yellow-throated Warbler
Black-throated Green Warbler
Rufous-capped Warbler
Golden-crowned Warbler
Three-striped Warbler
Buff-rumped Warbler
Wilson's Warbler
Slate-throated Redstart
Gray-headed Tanager
White-shouldered Tanager
Tawny-crested Tanager
White-lined Tanager
White-throated Shrike-Tanager
Crimson-collared Tanager
Passerini's Tanager
Blue-gray Tanager
Palm Tanager
Golden-hooded Tanager
Rufous-winged Tanager
Bay-headed Tanager
Silver-throated Tanager
Scarlet-thighed Dacnis
Blue Dacnis
Shining Honeycreeper
Red-legged Honeycreeper
Green Honeycreeper
Black-and-yellow Tanager
Blue-black Grassquit
Thick-billed Seed-Finch
Nicaraguan Seed-Finch
Variable Seedeater
Wing-barred Seedeater
White-collared Seedeater
Slate-colored Seedeater
Bananaquit
Yellow-faced Grassquit
Dusky-faced Tanager
Buff-throated Saltator
Black-headed Saltator
Grayish Saltator
Common Chlorospingus
Stripe-headed Sparrow
Olive Sparrow
Black-striped Sparrow
Orange-billed Sparrow
Chestnut-capped Brushfinch
Hepatic Tanager
Summer Tanager
Scarlet Tanager
Western Tanager
Red-crowned Ant-Tanager
Red-throated Ant-Tanager
Carmiol's Tanager
Black-faced Grosbeak
Rose-breasted Grosbeak
Blue Seedeater
Blue-black Grosbeak
Indigo Bunting
Eastern Meadowlark
Red-breasted Meadowlark
Melodious Blackbird
Great-tailed Grackle
Nicaraguan Grackle
Bronzed Cowbird
Black-cowled Oriole
Orchard Oriole
Yellow-tailed Oriole
Baltimore Oriole
Yellow-billed Cacique
Scarlet-rumped Cacique
Chestnut-headed Oropendola
Montezuma Oropendola
Scrub Euphonia
Yellow-crowned Euphonia
Yellow-throated Euphonia
Elegant Euphonia
Olive-backed Euphonia
White-vented Euphonia
Tawny-capped Euphonia
Tricolored Munia

Weather
Temperature
Minimum,Maximum,F or C (circle one)

Wind
Direction,Minimum,Maximum,MPH or KPH (circle one)

Snow Depth
Minimum,Maximum,in. or cm. (circle one)


Water Type,Unknown,Open,Partly Frozen,Partly Open,Frozen
Still Water (check one)
Moving Water (check one)

Cloud Cover,Unknown,Clear,Partly Cloudy,Partly Clear,Cloudy,Foggy,Local Fog
AM (check one)
PM (check one)

Precipitation,None,Light,Heavy,Unknown
AM Rain (check one)
PM Rain (check one)
AM Snow (check one)
PM Snow (check one)

Effort
Total Observers in Field,Minimum # of Parties (daylight),Maximum # of Parties (daylight),Total Observers at Feeders

Party Hours and Distances
(excludes viewing at feeders and nocturnal birding)
All Distances are in (circle one),Miles or Kilometers

Mode of Transportation,Hours,Distance
By Foot
By Car
Add Other Modes Here





Hours at Feeder
Hours at Nocturnal Birding
Distance Nocturnal Birding

Observer Names,Observer Addresses
