"Orden","Familia","Taxa","Ingles","Español","...7","Species"
"","","","","","",NA
"Tinamiformes","","","","","",NA
"","Tinamidae","","","","",NA
"","","Nothocercus bonapartei","Highland Tinamou","Tinamú Serrano (Gallina de monte de Altura, Gongolona)","","Highland Tinamou"
"","","Tinamus major","Great Tinamou","Tinamú Grande (Gallina de monte, Perdiz, Gongolona, Yerre)","","Great Tinamou"
"","","Crypturellus soui","Little Tinamou","Tinamú Chico (Gallina de monte Chica, Gongolona, Yerre, Ponchita)","","Little Tinamou"
"","","Crypturellus boucardi","Slaty-breasted Tinamou","Tinamú Pizarroso (Gallina de monte Patirroja)","","Slaty-breasted Tinamou"
"","","Crypturellus cinnamomeus","Thicket Tinamou","Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)","","Thicket Tinamou"
"Anseriformes","","","","","",NA
"","Anatidae","","","","",NA
"","","Dendrocygna viduata","White-faced Whistling-Duck","Pijije Cariblanco (Piche Careto)","",NA
"","","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Pijije Común (Piche, Quichichi, Pichichi)","",NA
"","","Dendrocygna bicolor","Fulvous Whistling-Duck","Pijije Canelo (Piche Canelo)","",NA
"","","Anser albifrons","Greater White-fronted Goose","Ganso Careto Mayor","",NA
"","","Sarkidiornis sylvicola","Comb Duck","Pato Crestudo","",NA
"","","Cairina moschata","Muscovy Duck","Pato Real (Pato Perulero)","","Muscovy Duck"
"","","Spatula discors","Blue-winged Teal","Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)","","Blue-winged Teal"
"","","Spatula cyanoptera","Cinnamon Teal","Cerceta Castaña (Carraco)","",NA
"","","Spatula clypeata","Northern Shoveler","Pato Cuchara (Carraco)","",NA
"","","Mareca americana","American Wigeon","Pato Calvo (Carraco)","",NA
"","","Anas platyrhynchos","Mallard","Pato Cabeciverde (Carraco)","",NA
"","","Anas bahamensis","White-cheeked Pintail","Pato Gargantilla","",NA
"","","Anas acuta","Northern Pintail","Pato Rabudo (Carraco Colilargo)","",NA
"","","Anas crecca","Green-winged Teal","Cerceta Aliverde (Carraco, Zarceta)","",NA
"","","Aythya valisineria","Canvasback","Porrón Picudo","",NA
"","","Aythya americana","Redhead","Porrón Americano (Pato Cabeza Roja)","",NA
"","","Aythya ferina","Common Pochard","Porrón Europeo","",NA
"","","Aythya collaris","Ring-necked Duck","Porrón Collarejo (Pato)","",NA
"","","Aythya marila","Greater Scaup","Porrón Mayor (Pato)","",NA
"","","Aythya affinis","Lesser Scaup","Porrón Menor (Pato)","","Lesser Scaup"
"","","Lophodytes cucullatus","Hooded Merganser","Serreta Capuchona (Pato de Cresta)","",NA
"","","Mergus serrator","Red-breasted Merganser","Serreta Pechirrojo","",NA
"","","Nomonyx dominicus","Masked Duck","Pato Enmascarado","",NA
"","","Oxyura jamaicensis","Ruddy Duck","Pato Cariblanco","",NA
"Galliformes","","","","","",NA
"","Cracidae","","","","",NA
"","","Ortalis vetula","Plain Chachalaca","Chachalaca Olivácea (Chachalaca)","","Plain Chachalaca"
"","","Ortalis cinereiceps","Gray-headed Chachalaca","Chachalaca Cabecigrís (Chachalaca, Pavita)","","Gray-headed Chachalaca"
"","","Penelope purpurascens","Crested Guan","Pava Crestada (Pava Granadera)","","Crested Guan"
"","","Chamaepetes unicolor","Black Guan","Pava Negra (Pajuila)","","Black Guan"
"","","Crax rubra","Great Curassow","Pavón Grande (Pavón, Granadera)","","Great Curassow"
"","Odontophoridae","","","","",NA
"","","Rhynchortyx cinctus","Tawny-faced Quail","Codorniz Carirrufa","",NA
"","","Dendrortyx leucophrys","Buffy-crowned Wood-Partridge","Perdiz Montañera (Chirrascuá)","",NA
"","","Colinus cristatus","Crested Bobwhite","Codorniz Crestada (Codorniz de Monte)","","Crested Bobwhite"
"","","Odontophorus gujanensis","Marbled Wood-Quail","Codorniz Corcovado (Julián Piojo)","",NA
"","","Odontophorus melanotis","Black-eared Wood-Quail","Codorniz Orejinegra (Chirrascuá, Gallinita)","","Black-eared Wood-Quail"
"","","Odontophorus leucolaemus","Black-breasted Wood-Quail","Codorniz Pechinegra (Gallinita de Monte, Chirrascuá, Huevos de Chancho)","",NA
"","","Odontophorus guttatus","Spotted Wood-Quail","Codorniz Moteada","",NA
"Podicipediformes","","","","","",NA
"","Podicipedidae","","","","",NA
"","","Tachybaptus dominicus","Least Grebe","Zambullidor Enano","","Least Grebe"
"","","Podilymbus podiceps","Pied-billed Grebe","Zambullidor Piquipinto (Pico Pinto)","",NA
"","","Podiceps nigricollis","Eared Grebe","Zambullidor Mediano","",NA
"Columbiformes","","","","","",NA
"","Columbidae","","","","",NA
"","","Columba livia","Rock Pigeon","Paloma Doméstica (Paloma de Castilla)","",NA
"","","Patagioenas cayennensis","Pale-vented Pigeon","Paloma Colorada (Paloma Morada)","","Pale-vented Pigeon"
"","","Patagioenas speciosa","Scaled Pigeon","Paloma Escamosa (Paloma Morada)","","Scaled Pigeon"
"","","Patagioenas leucocephala","White-crowned Pigeon","Paloma Coroniblanca","",NA
"","","Patagioenas flavirostris","Red-billed Pigeon","Paloma Piquirroja (Paloma Morada Común)","","Red-billed Pigeon"
"","","Patagioenas fasciata","Band-tailed Pigeon","Paloma Collareja","","Band-tailed Pigeon"
"","","Patagioenas subvinacea","Ruddy Pigeon","Paloma Rojiza (Paloma Morada)","",NA
"","","Patagioenas nigrirostris","Short-billed Pigeon","Paloma Piquicorta (Paloma Morada, Dos-tontos-son)","","Short-billed Pigeon"
"","","Streptopelia decaocto","Eurasian Collared-Dove","Tórtola Turca","",NA
"","","Columbina inca","Inca Dove","Tortolita Colilarga (San Juan, Tórtola)","","Inca Dove"
"","","Columbina passerina","Common Ground Dove","Tortolita Común (Tortolita, Palomita)","","Common Ground Dove"
"","","Columbina minuta","Plain-breasted Ground Dove","Tortolita Menuda (Tortolita, Conchita)","","Plain-breasted Ground Dove"
"","","Columbina talpacoti","Ruddy Ground Dove","Tortolita Rojiza (Tortolita, Palomita Colorada)","","Ruddy Ground Dove"
"","","Claravis pretiosa","Blue Ground Dove","Tortolita Azulada","","Blue Ground Dove"
"","","Paraclaravis mondetoura","Maroon-chested Ground Dove","Tortolita Serranera","",NA
"","","Geotrygon montana","Ruddy Quail-Dove","Paloma-Perdiz Rojiza","",NA
"","","Geotrygon violacea","Violaceous Quail-Dove","Paloma-Perdiz Violácea","",NA
"","","Leptotrygon veraguensis","Olive-backed Quail-Dove","Paloma-Perdiz Bigotiblanca","","Olive-backed Quail-Dove"
"","","Leptotila verreauxi","White-tipped Dove","Paloma Coliblanca (Coliblanca, Yuré)","","White-tipped Dove"
"","","Leptotila cassinii","Gray-chested Dove","Paloma Pechigrís (Yuré)","","Gray-chested Dove"
"","","Leptotila plumbeiceps","Gray-headed Dove","Paloma Coronigrís (Yuré)","",NA
"","","Zentrygon costaricensis","Buff-fronted Quail-Dove","Paloma-Perdiz Costarricense","",NA
"","","Zentrygon lawrencii","Purplish-backed Quail-Dove","Paloma-Perdiz Sombría","",NA
"","","Zentrygon chiriquensis","Chiriqui Quail-Dove","Paloma-Perdiz Pechicanela","","Chiriqui Quail-Dove"
"","","Zenaida asiatica","White-winged Dove","Paloma Aliblanca (Arrocera)","","White-winged Dove"
"","","Zenaida auriculata","Eared Dove","Paloma Torcaza","",NA
"","","Zenaida macroura","Mourning Dove","Paloma Rabuda","",NA
"Cuculiformes","","","","","",NA
"","Cuculidae","","","","",NA
"","","Crotophaga major","Greater Ani","Garrapatero Mayor (Tijo)","",NA
"","","Crotophaga ani","Smooth-billed Ani","Garrapatero Piquiliso (Tijo, Tinco)","",NA
"","","Crotophaga sulcirostris","Groove-billed Ani","Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)","","Groove-billed Ani"
"","","Tapera naevia","Striped Cuckoo","Cuclillo Listado (Rondero, Tres Pesos, Ave de las Ánimas)","",NA
"","","Dromococcyx phasianellus","Pheasant Cuckoo","Cuclillo Faisán","",NA
"","","Morococcyx erythropygus","Lesser Ground-Cuckoo","Cuclillo Sabanero (Horero)","","Lesser Ground-Cuckoo"
"","","Neomorphus geoffroyi","Rufous-vented Ground-Cuckoo","Cuco Hormiguero","",NA
"","","Piaya cayana","Squirrel Cuckoo","Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)","","Squirrel Cuckoo"
"","","Coccyzus melacoryphus","Dark-billed Cuckoo","Cuclillo Piquioscuro","",NA
"","","Coccyzus americanus","Yellow-billed Cuckoo","Cuclillo Piquigualdo","",NA
"","","Coccyzus minor","Mangrove Cuckoo","Cuclillo de Antifaz","",NA
"","","Coccyzus ferrugineus","Cocos Cuckoo","Cuclillo de la Isla del Coco","",NA
"","","Coccyzus erythropthalmus","Black-billed Cuckoo","Cuclillo Piquinegro","",NA
"Caprimulgiformes","","","","","",NA
"","Caprimulgidae","","","","",NA
"","","Chordeiles acutipennis","Lesser Nighthawk","Añapero Menor (Gavilán)","","Lesser Nighthawk"
"","","Chordeiles minor","Common Nighthawk","Añapero Zumbón","",NA
"","","Lurocalis semitorquatus","Short-tailed Nighthawk","Añapero Colicorto","",NA
"","","Nyctidromus albicollis","Common Pauraque","Tapacaminos Común (Cuyeo, Pucuyo)","","Common Pauraque"
"","","Hydropsalis cayennensis","White-tailed Nightjar","Chotacabras Coliblanco","",NA
"","","Nyctiphrynus ocellatus","Ocellated Poorwill","Chotacabras Ocelado","",NA
"","","Antrostomus carolinensis","Chuck-will's-widow","Chotacabras de Paso","",NA
"","","Antrostomus rufus","Rufous Nightjar","Chotacabras Rojizo","",NA
"","","Antrostomus ridgwayi","Buff-collared Nightjar","Chotacabras Tucuchillo","",NA
"","","Antrostomus vociferus","Eastern Whip-poor-will","Chotacabras Norteño","",NA
"","","Antrostomus saturatus","Dusky Nightjar","Chotacabras Sombrío (Tres Cobijas)","",NA
"Nyctibiiformes","","","","","",NA
"","Nyctibiidae","","","","",NA
"","","Nyctibius grandis","Great Potoo","Nictibio Grande (Pájaro Estaca, Leona, Bruja)","","Great Potoo"
"","","Nyctibius griseus","Common Potoo","Nictibio Común (Pájaro Estaca, Pájaro Palo)","","Common Potoo"
"","","Nyctibius jamaicensis","Northern Potoo","Nictibio Norteño (Pájaro Estaca, Gozona)","",NA
"Steatornithiformes","","","","","",NA
"","Steatornithidae","","","","",NA
"","","Steatornis caripensis","Oilbird","Guácharo","",NA
"Apodiformes","","","","","",NA
"","Apodidae","","","","",NA
"","","Cypseloides niger","Black Swift","Vencejo Negro","",NA
"","","Cypseloides cryptus","White-chinned Swift","Vencejo Sombrío","","White-chinned Swift"
"","","Cypseloides cherriei","Spot-fronted Swift","Vencejo de Cherrie","",NA
"","","Streptoprocne rutila","Chestnut-collared Swift","Vencejo Cuellicastaño","",NA
"","","Streptoprocne zonaris","White-collared Swift","Vencejón Collarejo (Golondrón)","","White-collared Swift"
"","","Chaetura cinereiventris","Gray-rumped Swift","Vencejo Lomigrís","","Gray-rumped Swift"
"","","Chaetura fumosa","Costa Rican Swift","Vencejo de Rabadilla Clara","",NA
"","","Chaetura pelagica","Chimney Swift","Vencejo de Paso","",NA
"","","Chaetura vauxi","Vaux's Swift","Vencejo Común","","Vaux's Swift"
"","","Panyptila cayennensis","Lesser Swallow-tailed Swift","Vencejo Tijereta Menor (Macuá)","","Lesser Swallow-tailed Swift"
"","","Panyptila sanctihieronymi","Great Swallow-tailed Swift","Vencejo Tijereta Mayor","",NA
"","Trochilidae","","","","",NA
"","","Florisuga mellivora","White-necked Jacobin","Jacobino Nuquiblanco","","White-necked Jacobin"
"","","Eutoxeres aquila","White-tipped Sicklebill","Pico de Hoz","","White-tipped Sicklebill"
"","","Glaucis aeneus","Bronzy Hermit","Ermitaño Bronceado","","Bronzy Hermit"
"","","Threnetes ruckeri","Band-tailed Barbthroat","Ermitaño Barbudo","","Band-tailed Barbthroat"
"","","Phaethornis guy","Green Hermit","Ermitaño Verde","","Green Hermit"
"","","Phaethornis longirostris","Long-billed Hermit","Ermitaño Colilargo","","Long-billed Hermit"
"","","Phaethornis striigularis","Stripe-throated Hermit","Ermitaño Enano","","Stripe-throated Hermit"
"","","Doryfera ludovicae","Green-fronted Lancebill","Pico de Lanza Frentiverde","",NA
"","","Colibri delphinae","Brown Violetear","Colibrí Orejivioláceo Pardo","","Brown Violetear"
"","","Colibri cyanotus","Lesser Violetear","Colibrí Orejivioláceo Verde","",NA
"","","Heliothryx barroti","Purple-crowned Fairy","Colibrí Picopunzón","","Purple-crowned Fairy"
"","","Anthracothorax prevostii","Green-breasted Mango","Colibrí Manguito Pechiverde","",NA
"","","Anthracothorax veraguensis","Veraguan Mango","Colibrí Manguito de Veragua","",NA
"","","Discosura conversii","Green Thorntail","Colibrí Colicerda Verde","",NA
"","","Lophornis delattrei","Rufous-crested Coquette","Coqueta Crestirrojiza","",NA
"","","Lophornis helenae","Black-crested Coquette","Coqueta Crestinegra","","Black-crested Coquette"
"","","Lophornis adorabilis","White-crested Coquette","Coqueta Crestiblanca","",NA
"","","Heliodoxa jacula","Green-crowned Brilliant","Colibrí Brillante Frentiverde","",NA
"","","Eugenes spectabilis","Talamanca Hummingbird","Colibrí de Talamanca","",NA
"","","Heliomaster longirostris","Long-billed Starthroat","Colibrí Piquilargo (Pochotero del Sur)","","Long-billed Starthroat"
"","","Heliomaster constantii","Plain-capped Starthroat","Colibrí Pochotero","",NA
"","","Panterpe insignis","Fiery-throated Hummingbird","Colibrí Garganta de Fuego","",NA
"","","Lampornis hemileucus","White-bellied Mountain-gem","Colibrí Montañés Vientriblanco","",NA
"","","Lampornis calolaemus","Purple-throated Mountain-gem","Colibrí Montañés Gorgimorado","","Purple-throated Mountain-gem"
"","","Lampornis castaneoventris","White-throated Mountain-gem","Colibrí Montañés Gorgiblanco","",NA
"","","Philodice bryantae","Magenta-throated Woodstar","Colibrí Estrellita Gorgimorada","",NA
"","","Archilochus colubris","Ruby-throated Hummingbird","Colibrí Garganta de Rubí","","Ruby-throated Hummingbird"
"","","Selasphorus flammula","Volcano Hummingbird","Colibrí Chispita Volcanera (Chispita, Colibrí Mosca)","",NA
"","","Selasphorus scintilla","Scintillant Hummingbird","Colibrí Chispita Gorginaranja (Chispita, Colibrí Mosca)","",NA
"","","Cynanthus canivetii","Canivet's Emerald","Esmeralda Rabihorcada","","Canivet's Emerald"
"","","Chlorostilbon assimilis","Garden Emerald","Esmeralda Jardinero","",NA
"","","Klais guimeti","Violet-headed Hummingbird","Colibrí Cabeciazul","","Violet-headed Hummingbird"
"","","Campylopterus hemileucurus","Violet Sabrewing","Ala de Sable Violáceo","","Violet Sabrewing"
"","","Chalybura urochrysia","Bronze-tailed Plumeleteer","Colibrí Patirrojo","","Bronze-tailed Plumeleteer"
"","","Thalurania colombica","Crowned Woodnymph","Colibrí Ninfa Verde-Violeta","","Crowned Woodnymph"
"","","Microchera albocoronata","Snowcap","Colibrí Copete de Nieve","","Snowcap"
"","","Microchera cupreiceps","Coppery-headed Emerald","Esmeralda de Coronilla Cobriza","","Coppery-headed Emerald"
"","","Microchera chionura","White-tailed Emerald","Esmeralda Coliblanca","",NA
"","","Eupherusa eximia","Stripe-tailed Hummingbird","Colibrí Colirrayado","","Stripe-tailed Hummingbird"
"","","Eupherusa nigriventris","Black-bellied Hummingbird","Colibrí Pechinegro","",NA
"","","Phaeochroa cuvierii","Scaly-breasted Hummingbird","Colibrí Pechiescamado","","Scaly-breasted Hummingbird"
"","","Saucerottia hoffmanni","Blue-vented Hummingbird","Colibrí Vientriazul (Gorrión)","",NA
"","","Saucerottia cyanura","Blue-tailed Hummingbird","Colibrí Coliazul (Gorrión)","","Blue-tailed Hummingbird"
"","","Saucerottia edward","Snowy-bellied Hummingbird","Colibrí Vientriblanco (Gorrión)","",NA
"","","Amazilia rutila","Cinnamon Hummingbird","Colibrí Canelo (Gorrión)","","Cinnamon Hummingbird"
"","","Amazilia tzacatl","Rufous-tailed Hummingbird","Colibrí Rabirrufo (Gorrión)","","Rufous-tailed Hummingbird"
"","","Amazilia boucardi","Mangrove Hummingbird","Colibrí de Manglar (Gorrión)","",NA
"","","Chrysuronia coeruleogularis","Sapphire-throated Hummingbird","Colibrí Garganta de Zafiro","",NA
"","","Polyerata amabilis","Blue-chested Hummingbird","Colibrí Pechiazul (Gorrión)","","Blue-chested Hummingbird"
"","","Polyerata decora","Charming Hummingbird","Colibrí Corona de Berilo (Gorrión)","",NA
"","","Chlorestes candida","White-bellied Emerald","Colibrí Pechiblanco (Gorrión)","",NA
"","","Chlorestes eliciae","Blue-throated Goldentail","Colibrí Colidorado","","Blue-throated Goldentail"
"Gruiformes","","","","","",NA
"","Rallidae","","","","",NA
"","","Rallus longirostris","Mangrove Rail","Rascón Picudo","",NA
"","","Mustelirallus erythrops","Paint-billed Crake","Polluela Piquirroja","",NA
"","","Pardirallus maculatus","Spotted Rail","Rascón Moteado","",NA
"","","Amaurolimnas concolor","Uniform Crake","Rascón Café","",NA
"","","Aramides axillaris","Rufous-necked Wood-Rail","Rascón Cuellirrufo","",NA
"","","Aramides albiventris","Russet-naped Wood-Rail","Rascón Pomponé","","Russet-naped Wood-Rail"
"","","Aramides cajaneus","Gray-cowled Wood-Rail","Rascón Cuelligrís (Chirincoco, Pomponé, Pone-pone)","",NA
"","","Porzana carolina","Sora","Polluela Sora","","Sora"
"","","Gallinula galeata","Common Gallinule","Gallareta Frentirroja (Gallineta)","",NA
"","","Fulica americana","American Coot","Focha Americana","",NA
"","","Porphyrio martinicus","Purple Gallinule","Gallareta Morada (Polla de Agua, Gallina de Agua, Calamón Morada)","","Purple Gallinule"
"","","Rufirallus schomburgkii","Ocellated Crake","Polluela Ocelada","",NA
"","","Hapalocrex flaviventer","Yellow-breasted Crake","Polluela Pechiamarilla","",NA
"","","Laterallus ruber","Ruddy Crake","Polluela Colorada","",NA
"","","Laterallus albigularis","White-throated Crake","Polluela Gargantiblanca (Freidora, Huevo frito)","","White-throated Crake"
"","","Laterallus exilis","Gray-breasted Crake","Polluela Pechigrís","",NA
"","","Laterallus jamaicensis","Black Rail","Polluela Negra","",NA
"","Heliornithidae","","","","",NA
"","","Heliornis fulica","Sungrebe","Pato Cantil (Perrito de Agua, Toboba)","",NA
"","Aramidae","","","","",NA
"","","Aramus guarauna","Limpkin","Carao (Correa)","",NA
"Charadriiformes","","","","","",NA
"","Burhinidae","","","","",NA
"","","Hesperoburhinus bistriatus","Double-striped Thick-knee","Alcaraván Americano (Alcaraván)","","Double-striped Thick-knee"
"","Recurvirostridae","","","","",NA
"","","Himantopus mexicanus","Black-necked Stilt","Cigüeñuela Cuellinegro (Soldadito)","",NA
"","","Recurvirostra americana","American Avocet","Avoceta Americana","",NA
"","Haematopodidae","","","","",NA
"","","Haematopus palliatus","American Oystercatcher","Ostrero Americano","",NA
"","Charadriidae","","","","",NA
"","","Pluvialis squatarola","Black-bellied Plover","Chorlito Gris","",NA
"","","Pluvialis dominica","American Golden-Plover","Chorlito Dorado Menor","",NA
"","","Pluvialis fulva","Pacific Golden-Plover","Chorlito Dorado del Pacífico","",NA
"","","Vanellus chilensis","Southern Lapwing","Chorlitazo Sureño (Avefría)","","Southern Lapwing"
"","","Anarhynchus collaris","Collared Plover","Chorlitejo Collarejo (Turillo)","",NA
"","","Anarhynchus nivosus","Snowy Plover","Chorlitejo Patinegro (Chorlito, Turillo)","",NA
"","","Anarhynchus wilsonia","Wilson's Plover","Chorlitejo Picudo (Chorlito Gritón, Turillo)","",NA
"","","Charadrius semipalmatus","Semipalmated Plover","Chorlitejo Semipalmado (Chorlito, Turillo)","",NA
"","","Charadrius melodus","Piping Plover","Chorlitejo Silbador","",NA
"","","Charadrius vociferus","Killdeer","Chorlitejo de Dos Collares (Pijije, Tildío)","","Killdeer"
"","Jacanidae","","","","",NA
"","","Jacana spinosa","Northern Jacana","Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)","","Northern Jacana"
"","","Jacana jacana","Wattled Jacana","Jacana Sureña","",NA
"","Scolopacidae","","","","",NA
"","","Bartramia longicauda","Upland Sandpiper","Pradero (Gansa)","",NA
"","","Numenius phaeopus","Whimbrel","Zarapito Trinador (Cherelá, Zarceta)","",NA
"","","Numenius americanus","Long-billed Curlew","Zarapito Piquilargo","",NA
"","","Limosa haemastica","Hudsonian Godwit","Aguja Lomiblanca","",NA
"","","Limosa fedoa","Marbled Godwit","Aguja Canela","",NA
"","","Limnodromus griseus","Short-billed Dowitcher","Agujeta Común","",NA
"","","Limnodromus scolopaceus","Long-billed Dowitcher","Agujeta Silbona","",NA
"","","Gallinago delicata","Wilson's Snipe","Becacina Común (Becada)","","Wilson's Snipe"
"","","Phalaropus tricolor","Wilson's Phalarope","Falaropo Tricolor","",NA
"","","Phalaropus fulicarius","Red Phalarope","Falaropo Rojo","",NA
"","","Phalaropus lobatus","Red-necked Phalarope","Falaropo Picofino","",NA
"","","Actitis macularius","Spotted Sandpiper","Andarríos Maculado (Alzacolita, Piririza, Tigüiza)","","Spotted Sandpiper"
"","","Tringa solitaria","Solitary Sandpiper","Andarríos Solitario (Tigüiza)","","Solitary Sandpiper"
"","","Tringa incana","Wandering Tattler","Correlimos Vagabundo","",NA
"","","Tringa flavipes","Lesser Yellowlegs","Patiamarillo Menor (Pijije, Zarceta)","",NA
"","","Tringa semipalmata","Willet","Pigüilo","",NA
"","","Tringa melanoleuca","Greater Yellowlegs","Patiamarillo Mayor (Correlimos Grande, Pijije, Zarceta)","",NA
"","","Arenaria interpres","Ruddy Turnstone","Vuelvepiedras Rojizo","",NA
"","","Calidris canutus","Red Knot","Correlimos Grande","",NA
"","","Calidris virgata","Surfbird","Chorlito de Rompientes","",NA
"","","Calidris pugnax","Ruff","Combatiente","",NA
"","","Calidris ferruginea","Curlew Sandpiper","Correlimos Zarapitín","",NA
"","","Calidris himantopus","Stilt Sandpiper","Correlimos Patilargo (Patudo, Becacina)","",NA
"","","Calidris subruficollis","Buff-breasted Sandpiper","Praderito Pechianteado (Zarceta)","",NA
"","","Calidris alba","Sanderling","Playero Arenero","",NA
"","","Calidris alpina","Dunlin","Correlimos Pechinegro","",NA
"","","Calidris bairdii","Baird's Sandpiper","Correlimos de Baird (Patudo, Becacina)","",NA
"","","Calidris fuscicollis","White-rumped Sandpiper","Correlimos Lomiblanco (Patudo, Becacina)","",NA
"","","Calidris minutilla","Least Sandpiper","Correlimos Menudo (Patudo, Becacina)","",NA
"","","Calidris melanotos","Pectoral Sandpiper","Correlimos Pechirrayado (Patudo, Becacina)","",NA
"","","Calidris mauri","Western Sandpiper","Correlimos Occidental (Patudo, Becacina)","",NA
