Familia,Taxa,Ingles,Español,Species
Tinamidae,,,,
,Crypturellus cinnamomeus,Thicket Tinamou,"Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)",Thicket Tinamou
Anatidae,,,,
,Dendrocygna autumnalis,Black-bellied Whistling-Duck,"Pijije Común (Piche, Quichichi, Pichichi)",Black-bellied Whistling-Duck
,Cairina moschata,Muscovy Duck,Pato Real (Pato Perulero),Muscovy Duck
,Spatula discors,Blue-winged Teal,"Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)",Blue-winged Teal
,Spatula clypeata,Northern Shoveler,Pato Cuchara (Carraco),Northern Shoveler
Cracidae,,,,
,Ortalis vetula,Plain Chachalaca,Chachalaca Olivácea (Chachalaca),Plain Chachalaca
,Penelope purpurascens,Crested Guan,Pava Crestada (Pava Granadera),Crested Guan
,Crax rubra,Great Curassow,"Pavón Grande (Pavón, Granadera)",Great Curassow
Odontophoridae,,,,
,Colinus cristatus,Crested Bobwhite,Codorniz Crestada (Codorniz de Monte),Crested Bobwhite
Podicipedidae,,,,
,Tachybaptus dominicus,Least Grebe,Zambullidor Enano,Least Grebe
Columbidae,,,,
,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada (Paloma Morada),Pale-vented Pigeon
,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa (Paloma Morada),Scaled Pigeon
,Patagioenas flavirostris,Red-billed Pigeon,Paloma Piquirroja (Paloma Morada Común),Red-billed Pigeon
,Patagioenas fasciata,Band-tailed Pigeon,Paloma Collareja,Band-tailed Pigeon
,Patagioenas nigrirostris,Short-billed Pigeon,"Paloma Piquicorta (Paloma Morada, Dos-tontos-son)",Short-billed Pigeon
,Columbina inca,Inca Dove,"Tortolita Colilarga (San Juan, Tórtola)",Inca Dove
,Columbina passerina,Common Ground Dove,"Tortolita Común (Tortolita, Palomita)",Common Ground Dove
