"Orden","Familia","Taxa","Ingles","Español","...7","Species","# or cw"
"","","","","","",NA,NA
"Tinamiformes","","","","","",NA,NA
"","Tinamidae","","","","",NA,NA
"","","Nothocercus bonapartei","Highland Tinamou","Tinamú Serrano (Gallina de monte de Altura, Gongolona)","",NA,NA
"","","Tinamus major","Great Tinamou","Tinamú Grande (Gallina de monte, Perdiz, Gongolona, Yerre)","",NA,NA
"","","Crypturellus soui","Little Tinamou","Tinamú Chico (Gallina de monte Chica, Gongolona, Yerre, Ponchita)","",NA,NA
"","","Crypturellus boucardi","Slaty-breasted Tinamou","Tinamú Pizarroso (Gallina de monte Patirroja)","",NA,NA
"","","Crypturellus cinnamomeus","Thicket Tinamou","Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)","","Thicket Tinamou",NA
"Anseriformes","","","","","",NA,NA
"","Anatidae","","","","",NA,NA
"","","Dendrocygna viduata","White-faced Whistling-Duck","Pijije Cariblanco (Piche Careto)","",NA,NA
"","","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Pijije Común (Piche, Quichichi, Pichichi)","","Black-bellied Whistling-Duck",NA
"","","Dendrocygna bicolor","Fulvous Whistling-Duck","Pijije Canelo (Piche Canelo)","",NA,NA
"","","Anser albifrons","Greater White-fronted Goose","Ganso Careto Mayor","",NA,NA
"","","Sarkidiornis sylvicola","Comb Duck","Pato Crestudo","",NA,NA
"","","Cairina moschata","Muscovy Duck","Pato Real (Pato Perulero)","","Muscovy Duck",NA
"","","Spatula discors","Blue-winged Teal","Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)","","Blue-winged Teal",NA
"","","Spatula cyanoptera","Cinnamon Teal","Cerceta Castaña (Carraco)","",NA,NA
"","","Spatula clypeata","Northern Shoveler","Pato Cuchara (Carraco)","","Northern Shoveler",NA
"","","Mareca americana","American Wigeon","Pato Calvo (Carraco)","",NA,NA
"","","Anas platyrhynchos","Mallard","Pato Cabeciverde (Carraco)","",NA,NA
"","","Anas bahamensis","White-cheeked Pintail","Pato Gargantilla","",NA,NA
"","","Anas acuta","Northern Pintail","Pato Rabudo (Carraco Colilargo)","",NA,NA
"","","Anas crecca","Green-winged Teal","Cerceta Aliverde (Carraco, Zarceta)","",NA,NA
"","","Aythya valisineria","Canvasback","Porrón Picudo","",NA,NA
"","","Aythya americana","Redhead","Porrón Americano (Pato Cabeza Roja)","",NA,NA
"","","Aythya ferina","Common Pochard","Porrón Europeo","",NA,NA
"","","Aythya collaris","Ring-necked Duck","Porrón Collarejo (Pato)","",NA,NA
"","","Aythya marila","Greater Scaup","Porrón Mayor (Pato)","",NA,NA
"","","Aythya affinis","Lesser Scaup","Porrón Menor (Pato)","",NA,NA
"","","Lophodytes cucullatus","Hooded Merganser","Serreta Capuchona (Pato de Cresta)","",NA,NA
"","","Mergus serrator","Red-breasted Merganser","Serreta Pechirrojo","",NA,NA
"","","Nomonyx dominicus","Masked Duck","Pato Enmascarado","",NA,NA
"","","Oxyura jamaicensis","Ruddy Duck","Pato Cariblanco","",NA,NA
"Galliformes","","","","","",NA,NA
"","Cracidae","","","","",NA,NA
"","","Ortalis vetula","Plain Chachalaca","Chachalaca Olivácea (Chachalaca)","","Plain Chachalaca",NA
"","","Ortalis cinereiceps","Gray-headed Chachalaca","Chachalaca Cabecigrís (Chachalaca, Pavita)","",NA,NA
"","","Penelope purpurascens","Crested Guan","Pava Crestada (Pava Granadera)","","Crested Guan",NA
"","","Chamaepetes unicolor","Black Guan","Pava Negra (Pajuila)","",NA,NA
"","","Crax rubra","Great Curassow","Pavón Grande (Pavón, Granadera)","","Great Curassow",NA
"","Odontophoridae","","","","",NA,NA
"","","Rhynchortyx cinctus","Tawny-faced Quail","Codorniz Carirrufa","",NA,NA
"","","Dendrortyx leucophrys","Buffy-crowned Wood-Partridge","Perdiz Montañera (Chirrascuá)","",NA,NA
"","","Colinus cristatus","Crested Bobwhite","Codorniz Crestada (Codorniz de Monte)","","Crested Bobwhite",NA
"","","Odontophorus gujanensis","Marbled Wood-Quail","Codorniz Corcovado (Julián Piojo)","",NA,NA
"","","Odontophorus melanotis","Black-eared Wood-Quail","Codorniz Orejinegra (Chirrascuá, Gallinita)","",NA,NA
"","","Odontophorus leucolaemus","Black-breasted Wood-Quail","Codorniz Pechinegra (Gallinita de Monte, Chirrascuá, Huevos de Chancho)","",NA,NA
"","","Odontophorus guttatus","Spotted Wood-Quail","Codorniz Moteada","",NA,NA
"Podicipediformes","","","","","",NA,NA
"","Podicipedidae","","","","",NA,NA
"","","Tachybaptus dominicus","Least Grebe","Zambullidor Enano","","Least Grebe",NA
"","","Podilymbus podiceps","Pied-billed Grebe","Zambullidor Piquipinto (Pico Pinto)","",NA,NA
"","","Podiceps nigricollis","Eared Grebe","Zambullidor Mediano","",NA,NA
"Columbiformes","","","","","",NA,NA
"","Columbidae","","","","",NA,NA
"","","Columba livia","Rock Pigeon","Paloma Doméstica (Paloma de Castilla)","",NA,NA
"","","Patagioenas cayennensis","Pale-vented Pigeon","Paloma Colorada (Paloma Morada)","","Pale-vented Pigeon",NA
"","","Patagioenas speciosa","Scaled Pigeon","Paloma Escamosa (Paloma Morada)","","Scaled Pigeon",NA
"","","Patagioenas leucocephala","White-crowned Pigeon","Paloma Coroniblanca","",NA,NA
"","","Patagioenas flavirostris","Red-billed Pigeon","Paloma Piquirroja (Paloma Morada Común)","","Red-billed Pigeon",NA
"","","Patagioenas fasciata","Band-tailed Pigeon","Paloma Collareja","","Band-tailed Pigeon",NA
"","","Patagioenas subvinacea","Ruddy Pigeon","Paloma Rojiza (Paloma Morada)","",NA,NA
"","","Patagioenas nigrirostris","Short-billed Pigeon","Paloma Piquicorta (Paloma Morada, Dos-tontos-son)","","Short-billed Pigeon",NA
"","","Streptopelia decaocto","Eurasian Collared-Dove","Tórtola Turca","",NA,NA
"","","Columbina inca","Inca Dove","Tortolita Colilarga (San Juan, Tórtola)","","Inca Dove",NA
"","","Columbina passerina","Common Ground Dove","Tortolita Común (Tortolita, Palomita)","","Common Ground Dove",NA
"","","Columbina minuta","Plain-breasted Ground Dove","Tortolita Menuda (Tortolita, Conchita)","","Plain-breasted Ground Dove",NA
